eGFR,Creatinine,Systolic BP,Diastolic BP,HbA1c,Hemoglobin,Age,Gender,mean_abs_shap
0.030306821306825577,-0.15335112149571514,-0.01328625698499413,-0.013710459725627538,-0.008930139481554971,-0.016893042731001003,-0.07780634183979843,0.00626381388045692,0.040068499680746716
0.14064650727491532,-0.08491208698874812,-0.013117509906971069,-0.01109480574385123,3.1286327103088354e-05,-0.01105760929104626,0.044178577502081096,0.007834787380520366,0.03910914630190457
0.036362305994891896,-0.06345589313319362,-0.011724440046279826,-0.012117476570726314,-0.006504800726867614,0.020313802565631357,-0.0562946014983138,-0.02530917005476775,0.02901031132383402
0.027168521459853136,0.051875076254525594,0.04800457360639189,0.0520823951671602,-0.010953611178398921,0.037123775740942146,-0.028527038316339664,-0.007132983400848649,0.032858496890557524
0.035334088762828196,0.058996684691132485,0.06310256427330345,0.040271191355371924,-0.008766945423937755,0.04924614837468886,-0.013875611707384891,-0.005684289731010482,0.03440969053995725
-0.18742861552537735,-0.053731046533096946,-0.008742069035212173,-0.009043010883924497,-0.008946151857724873,-0.012463704936955628,-0.07765985887675211,0.012883609176180902,0.046362258353153066
0.10370435126508626,0.06832744372270137,-0.015804307968932008,-0.014642169371753186,-0.0077151268441424175,0.015566000661967502,-0.04452373417802909,-0.004116516658678941,0.03429995633391135
-0.15232141611476263,-0.025301923542210735,0.06477751156345181,0.06131029321773512,0.0032143389187160895,0.029404252096263874,0.04062112613102961,-0.01059946344475525,0.04844379062861564
-0.21515851269365,-0.10936813954606796,0.05453356581525851,0.06806947179644811,-0.0033171992133371724,-0.004815012597797607,0.034096105081843776,0.006627874070389199,0.061998235101849035
0.1787804400575779,0.10213727003866058,-0.010197022570229117,-0.010888430393778336,0.043056741336030185,0.026789938969044837,0.01409742295814698,0.00840105507807272,0.04929354017519257
0.08321983755109319,-0.040260957285705744,0.0790230417599648,0.03038697504615563,-0.0030003208356096226,0.02013845029086952,0.020411926076152474,0.011997134487200113,0.03605483041659389
-0.17226426453216256,-0.06764609151125354,0.022953006976473293,0.033475030280244115,-0.0033799509146561356,-0.030564209664429354,0.03164681357874376,-0.02038902296039836,0.04778979880229514
0.09082079959012945,0.08895192913128241,-0.01427098325756026,-0.015243047926135837,-0.007396070902464502,0.025020198387462826,0.0509943652027487,-0.007155449651712328,0.03748160550618704
-0.17687614990475403,-0.1095280683586895,-0.01436088420502627,-0.013196169485923082,0.0004752797405749002,0.024211457609492358,0.029011434936207937,-0.012472627388318178,0.047516508953623283
0.030969100452360572,-0.045810118643401246,-0.015363385397223114,-0.015783473552353336,-0.008737656569155485,0.026615895090555293,-0.05624125163076281,0.009718949033129734,0.0261549787961177
0.12890189299521143,-0.007779602643642042,0.04765603510847572,0.005212151412691972,0.00228119380461117,-0.016563742318597648,0.05272792527725245,-0.016025760426269825,0.034643537998344034
0.1542021312403856,0.11443631692131037,-0.013948803626075819,-0.014809820115551145,-0.006289983619467206,0.04081267929827155,0.009002771065567728,0.00428355666473047,0.04472325781891998
-0.1286695025884801,-0.095859977152611,0.024357614714281297,0.042102738214290295,0.022051785744670642,0.04630916044718186,0.030670914773048338,-0.0048112690440672195,0.049354120334828847
-0.13525349667081366,-0.08616839012834511,-0.014338006736460986,-0.01420786961359174,0.0002600896546930059,-0.002295626341065643,0.03660730408427176,0.007113294723336728,0.03703050974407233
-0.242593188887859,-0.05771236047835226,-0.012897626394366495,-0.013407313420424026,0.0006183867231832939,0.01249938466590464,-0.040304248448005155,-0.010300937472881563,0.04879168081137206
0.17655603020415986,0.14480869343614633,-0.012067825774222964,-0.011870044723301866,0.017794788074809314,-0.009433876868919066,-0.006878554161906934,-0.0036326205219092624,0.04788030422067195
0.16902524802648233,0.13488517519381524,0.021554685904804544,0.03191336929392108,-0.005373456359573809,-0.009902473658938806,0.01906447547359745,-0.00814103835250872,0.04998249028295525
-0.14814770674454067,-0.05534496106348312,-0.014962980774044345,-0.016914731302858817,0.011308705873864676,0.030461301059034124,0.03381214759502294,-0.010434853286360063,0.04017342346240109
-0.2623572671888677,-0.13991245752548706,-0.012861046646383193,-0.012800297752194247,0.005160549885897214,0.02781242296902146,0.03334405519773346,0.0031523793465696526,0.06217505956401924
0.16213100455018684,0.11292997165427596,0.011833403971759391,0.04274445882113024,0.04853383953683644,0.018711842166524762,0.0034223382265104177,0.008130898801570776,0.05105471971609935
0.07926193217283371,0.07061962524614905,-0.011875254683332828,-0.010571697359275168,-0.010193785887824307,-0.015521747524455305,0.06600000121587828,-0.010156375387003204,0.03427505243459398
0.020697959097535096,-0.03507694970752123,-0.020654741039912623,-0.021129577594798037,-0.0021675449586655666,-0.016354173728786954,0.00850722124965587,-0.007157120670381623,0.016468161005907124
0.12217539347235541,0.08543882405851251,-0.014648251392610327,-0.013821744442830672,-0.007560249029900766,-0.012940394096888966,0.043132842729085845,-0.007282062847328729,0.03837497025868915
0.0762195198213991,-0.03589668582435674,-0.015035891819533104,-0.013568578911640055,-0.00997973307673814,-0.0035865317075838145,0.051889329857256986,0.015652501807891947,0.02772859660329998
0.15209656541307362,0.10124050202916972,0.014257916258214291,0.04490810973089166,-0.003464016064097102,-0.010485684323580338,0.04423014099875685,-0.007118523273984302,0.04722518226147099
0.04521904105786547,-0.019458236863325516,0.09373085649814546,0.0592351177100024,0.0013288951876573075,0.041313038486976185,-0.0830602972775238,-0.012516662098234465,0.04448276814746632
